"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 07 19:18:25 CST 2024","Thu Mar 07 19:18:27 CST 2024","2027","testcases","test_attrinfo","","","","test_grouplist",""
"failed","Thu Mar 07 19:18:10 CST 2024","Thu Mar 07 19:18:12 CST 2024","2042","testcases","test_attrsave","","","","test_attrsave",""
